,target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1,0.471826409,50,0,0.363909427,12983.0,9,0,2,0,1.0
1,1,0.490075496,26,0,0.548824593,1105.0,4,0,0,0,0.0
2,0,0.06404254599999999,55,0,0.363049365,4800.0,9,0,1,0,2.0
3,1,0.5005666289999999,49,1,0.348109811,4443.0,6,1,0,2,2.0
4,0,0.0,54,0,1021.0,,7,0,1,0,0.0
5,1,1.114863364,26,0,0.35394298399999996,2700.0,5,1,0,1,1.0
6,0,0.40319361299999995,25,0,0.0019993339999999997,3000.0,1,0,0,0,0.0
7,1,0.14442264900000001,45,0,0.441993824,6800.0,10,1,2,1,3.0
8,1,0.6911913120000001,44,0,0.72510332,7500.0,20,0,4,0,5.0
9,0,0.334613743,58,0,0.463594219,3666.0,8,0,1,0,0.0
10,0,0.084954215,54,0,1.882597835,1200.0,9,0,1,0,1.0
11,1,1.601328904,55,1,0.135104256,3500.0,2,0,0,0,1.0
12,1,0.9999998999999999,40,0,0.051987003,4000.0,4,0,0,0,0.0
13,1,0.9876363640000001,41,0,1673.0,,5,0,1,0,2.0
14,0,0.094845018,45,0,8041.0,,9,0,6,0,2.0
15,0,0.643851149,39,1,0.456254375,10000.0,14,0,2,0,3.0
16,0,0.677690082,64,0,0.55416042,5335.0,9,0,1,0,1.0
17,0,0.998447095,44,0,3831.0,,8,0,2,0,4.0
18,0,0.18157579,35,0,0.747626187,2000.0,4,0,1,0,2.0
19,1,0.9999998999999999,47,1,0.803345573,2450.0,4,0,1,1,0.0
20,0,0.0692014,42,0,104.0,,9,0,0,0,0.0
21,1,0.903809781,43,1,1.2824184570000001,3770.0,7,4,3,2,2.0
22,1,0.404266168,42,4,0.384882016,7500.0,19,0,1,2,1.0
23,1,1.006662225,43,0,0.166234728,2700.0,4,0,0,0,1.0
24,1,0.41578868,57,1,0.34104201700000003,14874.0,19,0,1,0,3.0
25,0,0.9999998999999999,26,0,182.0,,3,0,0,0,
26,1,0.897009967,49,0,0.000413693,19337.0,1,0,0,0,0.0
27,0,0.005190229,54,0,0.34495688,2666.0,6,0,1,0,2.0
28,1,1.011022815,24,1,0.481327801,1927.0,12,0,0,0,0.0
29,0,0.030650728999999998,77,0,0.171843754,7500.0,10,0,1,0,1.0
30,1,1.054310073,53,10,0.331619537,3500.0,7,3,0,1,0.0
31,0,0.24271433899999997,46,0,0.196960608,5000.0,12,0,1,0,3.0
32,1,0.9970029970000001,51,2,1434.0,,4,0,0,0,0.0
33,1,0.9999998999999999,41,2,0.078839159,12645.0,2,3,0,1,1.0
34,1,1.441860465,29,1,0.174920491,2200.0,5,2,0,0,0.0
35,0,0.566311441,35,1,0.520369593,2380.0,8,0,1,0,0.0
36,0,0.320812359,48,0,5589.0,,23,0,2,0,2.0
37,0,0.045305421,31,0,0.013598187,7500.0,5,0,0,0,2.0
38,0,0.20722288600000002,74,0,0.686578355,4000.0,23,0,2,0,1.0
39,1,0.784681636,29,0,0.17670071699999998,4600.0,9,0,0,0,0.0
40,0,0.9999998999999999,33,1,0.014029906000000002,5416.0,0,0,0,1,3.0
41,1,0.9586278229999999,53,1,0.501597444,1251.0,4,0,0,0,0.0
42,0,0.024795041,43,0,0.41562952200000003,6909.0,5,0,2,0,3.0
43,0,1.028806584,27,1,52.0,,4,0,0,0,
44,1,0.14010628,47,0,0.12992569199999998,4440.0,5,1,0,2,3.0
45,0,0.214822509,46,0,0.17882836600000002,6810.0,7,0,0,0,1.0
46,1,0.871114343,55,1,0.68097587,7500.0,7,0,2,0,0.0
47,1,0.632801363,63,1,1.272959777,4300.0,21,0,2,1,0.0
48,0,0.26986096,50,0,0.223347082,8000.0,17,0,0,0,0.0
